pitcher_id,sched_date,Level_Code,sched_id,event_id,pa,ab,1b,2b,3b,hr,bb,so,hit_exit_speed,hit_vertical_angle,pitch_type,play_code
82042,5/22/2025,afa,1256957,45,1,1,0,0,0,0,0,0,102.3977051,-5.580267906,FT,54(1)/FO/G
82042,5/22/2025,afa,1256957,57,1,1,0,0,0,0,0,1,NULL,NULL,FF,K
82042,5/22/2025,afa,1256957,58,1,1,1,0,0,0,0,0,105.1963654,7.393322468,FF,S6/L
82042,5/22/2025,afa,1256957,59,1,0,0,0,0,0,0,0,49.95424652,6.728181362,FT,HBP.1-2
82042,5/22/2025,afa,1256957,60,1,0,0,0,0,0,1,0,NULL,NULL,FF,W.2-3;1-2
82042,5/22/2025,afa,1256957,61,1,1,1,0,0,0,0,0,78.5187149,19.89035034,FF,S8/L.3-H;2-3;1-2
82042,5/22/2025,afa,1256957,62,1,1,0,0,0,0,0,1,NULL,NULL,CH,K
82042,5/22/2025,afa,1256957,63,1,0,0,0,0,0,1,0,NULL,NULL,FF,W.3-H;2-3;1-2
82042,5/22/2025,afa,1256957,64,1,1,1,0,0,0,0,0,49.05940247,-72.98074341,FT,S5/G.3-H;2-H(E5/TH)(UR)(NR);1-H(UR)(NR);B-2
82042,5/11/2025,afa,1256958,55,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
82042,5/11/2025,afa,1256958,56,1,1,1,0,0,0,0,0,87.12718201,18.41757393,FC,S7/L
82042,5/11/2025,afa,1256958,57,0,0,0,0,0,0,0,0,NULL,NULL,FC,WP.1-2
82042,5/11/2025,afa,1256958,58,1,1,0,0,0,1,0,0,106.379776,28.22050095,CU,HR/78/F.2-H
82042,5/11/2025,afa,1256958,59,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
82042,5/11/2025,afa,1256958,60,1,1,0,0,0,0,0,0,98.60965729,-0.699474037,CU,43/G
82042,5/11/2025,afa,1256958,64,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
82042,5/11/2025,afa,1256958,65,1,1,0,0,0,0,0,0,105.951683,17.52517509,CH,7/L
82042,5/11/2025,afa,1256958,66,1,1,0,0,0,0,0,0,64.26957703,-32.92857742,CU,3/G
82042,5/11/2025,afa,1256958,71,1,1,0,0,0,0,0,1,NULL,NULL,CH,K
82042,5/11/2025,afa,1256958,72,1,1,0,0,0,0,0,0,102.3032455,-33.76709366,FT,43/G
82042,5/8/2025,afa,1256962,69,1,0,0,0,0,0,0,0,NULL,NULL,CH,HBP.1-2
82042,5/8/2025,afa,1256962,70,0,0,0,0,0,0,0,0,NULL,NULL,FF,SB3;SB2
82042,5/8/2025,afa,1256962,72,1,0,0,0,0,0,1,0,NULL,NULL,FF,W
82042,5/8/2025,afa,1256962,73,1,1,1,0,0,0,0,0,101.5472412,-0.057130314,FF,S9/G.3-H;2-3;1-2
82042,5/8/2025,afa,1256962,74,1,1,1,0,0,0,0,0,101.1380463,47.81457138,CU,S7/F.3-H;2-3;1-2
82042,5/8/2025,afa,1256962,75,1,1,0,0,0,0,0,0,57.83730698,-54.22106552,CH,12(3)3/GDP-
82042,5/8/2025,afa,1256962,79,1,0,0,0,0,0,1,0,NULL,NULL,FF,W
82042,5/8/2025,afa,1256962,80,0,0,0,0,0,0,0,0,NULL,NULL,FT,SB2
82042,5/8/2025,afa,1256962,81,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
82042,5/8/2025,afa,1256962,82,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
82042,4/25/2025,afa,1256967,33,1,1,0,0,0,0,0,0,88.20477295,-23.08133316,FF,53/G
82042,4/25/2025,afa,1256967,34,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
82042,4/25/2025,afa,1256967,35,1,1,0,0,0,0,0,0,89.50468445,-8.235336304,FF,43/G
82042,4/25/2025,afa,1256967,39,1,1,0,0,0,0,0,0,101.0316238,-0.408599049,CH,43/G
82042,4/25/2025,afa,1256967,40,1,1,0,0,0,0,0,0,72.30764771,-2.498554707,CU,31/G
82042,4/25/2025,afa,1256967,41,1,1,0,0,0,0,0,1,NULL,NULL,FF,K
82042,4/25/2025,afa,1256967,45,1,0,0,0,0,0,1,0,NULL,NULL,FT,W
82042,4/25/2025,afa,1256967,46,1,1,0,0,0,0,0,0,99.82141113,16.55046654,CH,7/L
82042,4/25/2025,afa,1256967,47,1,1,0,0,0,0,0,1,NULL,NULL,FC,K
82042,4/25/2025,afa,1256967,48,1,1,0,1,0,0,0,0,97.78142548,22.80003357,FF,D8/L.1XH(842/TH)
82042,4/10/2025,afa,1256974,72,1,1,0,0,0,0,0,0,81.61426544,28.87456131,FT,7/F
82042,4/10/2025,afa,1256974,73,1,1,0,0,0,0,0,0,47.50165939,-60.51200485,FF,13/G-
82042,4/10/2025,afa,1256974,74,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
93229,8/16/2025,afa,1256264,45,1,1,0,0,0,0,0,0,45.38192,-42.514622,FF,63/G
93229,8/16/2025,afa,1256264,46,1,1,1,0,0,0,0,0,67.07309,-44.123149,FF,S6/G
93229,8/16/2025,afa,1256264,47,1,0,0,0,0,0,1,0,NULL,NULL,FF,W.1-2
93229,8/16/2025,afa,1256264,48,1,1,0,0,0,0,0,0,64.78646,-6.180116,FC,64(1)3/GDP
93229,8/16/2025,afa,1256264,55,1,1,0,0,0,0,0,0,78.02732,79.831911,FF,2/P2F
93229,8/16/2025,afa,1256264,56,1,1,1,0,0,0,0,0,65.05831,-46.914328,FF,S5/G
93229,8/16/2025,afa,1256264,57,1,0,0,0,0,0,1,0,NULL,NULL,FT,W.1-2
93229,8/16/2025,afa,1256264,58,1,1,0,0,0,0,0,1,NULL,NULL,FC,K
93229,8/16/2025,afa,1256264,59,1,1,0,0,0,0,0,0,95.86022,26.768785,FC,8/F
93229,8/16/2025,afa,1256264,63,1,1,0,0,0,0,0,0,82.46747,2.331146,FF,43/G
93229,8/16/2025,afa,1256264,64,1,1,0,0,0,0,0,0,98.7892,21.902669,FT,8/F
93229,8/16/2025,afa,1256264,65,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
93229,7/10/2025,afa,1256542,59,1,1,1,0,0,0,0,0,89.84612274,14.25306225,FF,S7/L
93229,7/10/2025,afa,1256542,60,1,0,0,0,0,0,0,0,NULL,NULL,FT,HBP.1-2
93229,7/10/2025,afa,1256542,61,1,1,0,0,0,0,0,1,NULL,NULL,FC,K
93229,7/10/2025,afa,1256542,62,1,1,0,0,0,0,0,0,90.29936218,0.050566953,CU,46(1)3/GDP
